Match,Innings,match_date,Versus,Ground,How Dismissed,Runs,Balls_faced,strike_rate
342,333,12/27/2004,Bangladesh,Bangabandhu National Stadium,c †Khaled Mashud b Khaled Mahmud,47,42,111.9
343,334,4/2/2005,Pakistan,Nehru Stadium (Kochi),c Mohammad Yousuf b NavedulHasan,4,4,100
344,335,4/5/2005,Pakistan,Dr YS Rajasekhara Reddy Cricket Stadium,run out,2,8,25
345,336,4/9/2005,Pakistan,Keenan Stadium,c Younis Khan b Mohammad Sami,6,11,54.55
346,337,4/12/2005,Pakistan,Narendra Modi Stadium,b Shoaib Malik,123,130,94.62
347,338,4/15/2005,Pakistan,Green Park,c †Kamran Akmal b NavedulHasan,1,10,10
348,339,4/17/2005,Pakistan,Arun Jaitley Stadium,b Iftikhar Anjum,9,15,60
349,340,10/25/2005,Sri Lanka,Vidarbha Cricket Association Ground,c †K C Sangakkara b M F Maharoof,93,96,96.88
350,341,10/28/2005,Sri Lanka,Punjab Cricket Association IS Bindra Stadium,not out,67,69,97.1
351,342,10/31/2005,Sri Lanka,Sawai Mansingh Stadium,c †K C Sangakkara b W P U J C Vaas,2,3,66.67
352,343,11/3/2005,Sri Lanka,Nehru Stadium (Pune),b W P U J C Vaas,11,19,57.89
353,344,11/9/2005,Sri Lanka,Madhavrao Scindia Cricket Ground,c M F Maharoof b C R D Fernando,19,30,63.33
354,345,11/12/2005,Sri Lanka,Reliance Stadium,c & b D N T Zoysa,39,48,81.25
355,346,11/16/2005,South Africa,Rajiv Gandhi International Stadium,c †M V Boucher b S M Pollock,2,9,22.22
356,347,11/19/2005,South Africa,M Chinnaswamy Stadium,c sub b S M Pollock,2,22,9.09
357,348,11/25/2005,South Africa,Eden Gardens,c †M V Boucher b S M Pollock,2,15,13.33
358,349,11/28/2005,South Africa,Wankhede Stadium,c A G Prince b A Nel,30,44,68.18
359,350,2/6/2006,Pakistan,Arbab Niaz Stadium,lbw b Arshad Khan,100,113,88.5
360,351,2/11/2006,Pakistan,Rawalpindi Cricket Stadium,c †Kamran Akmal b Abdul Razzaq,42,43,97.67
361,352,2/13/2006,Pakistan,Gaddafi Stadium,c sub b Abdul Razzaq,95,104,91.35
362,353,2/16/2006,Pakistan,Multan Cricket Stadium,c †Kamran Akmal b Mohammad Sami,0,3,0
363,354,8/18/2006,Sri Lanka,Sinhalese Sports Club Ground,not out,2,3,66.67
364,355,9/14/2006,West Indies,Kinrara Academy Oval,not out,141,148,95.27
365,356,9/16/2006,Australia,Kinrara Academy Oval,c †B J Haddin b M G Johnson,12,17,70.59
366,357,9/20/2006,West Indies,Kinrara Academy Oval,run out,65,102,63.73
367,358,9/22/2006,Australia,Kinrara Academy Oval,c M E K Hussey b B Lee,4,10,40
368,359,10/15/2006,England,Sawai Mansingh Stadium,lbw b S J Harmison,35,41,85.37
369,360,10/26/2006,West Indies,Narendra Modi Stadium,b I D R Bradshaw,29,45,64.44
370,361,10/29/2006,Australia,Punjab Cricket Association IS Bindra Stadium,c †A C Gilchrist b G D McGrath,10,26,38.46
371,362,11/22/2006,South Africa,Kingsmead,b A Nel,35,51,68.63
372,363,11/26/2006,South Africa,Newlands,c L L Bosman b S M Pollock,2,9,22.22
373,364,11/29/2006,South Africa,St George's Park,c †M V Boucher b S M Pollock,1,3,33.33
374,365,12/3/2006,South Africa,SuperSport Park,c A B de Villiers b J M Kemp,55,97,56.7
375,366,1/21/2007,West Indies,Vidarbha Cricket Association Ground,lbw b C H Gayle,31,38,81.58
376,367,1/24/2007,West Indies,Barabati Stadium,c D S Smith b D B Powell,0,6,0
377,368,1/27/2007,West Indies,MA Chidambaram Stadium,c R S Morton b D J Bravo,60,66,90.91
378,369,1/31/2007,West Indies,Reliance Stadium,not out,100,76,131.58
379,,2/8/2007,Sri Lanka,Eden Gardens,did not bat,,,
380,370,2/11/2007,Sri Lanka,Madhavrao Scindia Cricket Ground,st K C Sangakkara b C M Bandara,54,61,88.52
381,371,2/14/2007,Sri Lanka,Nehru Stadium (Margao),b K M D N Kulasekara,1,8,12.5
382,372,3/17/2007,Bangladesh,Queen's Park Oval,c †Mushfiqur Rahim b Abdur Razzak,7,26,26.92
383,373,3/19/2007,Bermuda,Queen's Park Oval,not out,57,29,196.55
384,374,3/23/2007,Sri Lanka,Queen's Park Oval,b C R D Fernando,0,3,0
385,375,6/23/2007,Ireland,Civil Service Cricket Club,b R K Whelan,4,3,133.33
386,376,6/26/2007,South Africa,Civil Service Cricket Club,run out,99,143,69.23
